,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.06293856441286,40.27358522799583,2021-11-08,186,422,639,692,1077,1526,1672,1852,1906,2391,1888,1297,96,765,7,70,65,45,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0562910313104,40.28598197891668,2021-11-08,109,322,518,564,892,1250,1460,1814,1674,1973,1767,1266,96,635,5,58,53,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06195041760034,40.28472433751891,2021-11-08,18,290,508,609,778,1396,1574,2332,1729,1789,1343,801,96,741,4,63,52,29,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05916564021956,40.29568378398517,2021-11-08,107,264,562,405,1022,1778,1824,2202,2163,1927,1749,1106,96,782,4,42,59,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06024361856052,40.295144794814696,2021-11-08,102,308,508,486,891,1314,1514,1780,1637,1957,1576,1013,96,765,4,49,52,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06051311314576,40.296312604684054,2021-11-08,151,338,460,550,849,1255,1337,1340,1594,2065,1702,1184,96,599,5,56,47,35,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.05988429244687,40.29388715341693,2021-11-08,109,300,526,472,1041,1836,1869,2068,2193,1937,1894,1219,96,872,4,48,53,30,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0594351348048,40.29478546870105,2021-11-08,106,265,527,449,942,1528,1770,1886,1934,1970,1718,1077,96,791,4,47,54,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05691985200926,40.29316850118963,2021-11-08,133,337,648,546,1232,2040,2178,2540,2475,2411,1864,1119,96,785,4,56,66,35,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06743014083347,40.282478549308614,2021-11-08,54,224,312,408,643,869,984,1030,1116,1427,1159,777,96,765,2,41,32,23,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07946756564067,40.25463077550091,2021-11-08,69,252,524,438,1015,1642,1903,2122,2096,2032,1777,1085,96,910,4,45,54,26,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07919807105543,40.258673194279446,2021-11-08,47,194,563,332,872,2276,2366,3414,2582,1941,1392,794,96,1210,4,35,58,20,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02215505051385,40.27349539646742,2021-11-08,148,360,477,729,939,1112,1278,1550,1537,1608,1681,1277,96,642,5,75,49,38,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06536401568,40.272507249654886,2021-11-08,144,307,487,497,918,1460,1592,1614,1765,2162,1529,978,96,774,4,48,49,34,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06347755358334,40.28122090791084,2021-11-08,70,289,491,462,937,1513,1666,2018,1946,2096,1467,863,96,906,4,47,50,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.08934903376598,40.28149040249608,2021-11-08,125,327,491,461,813,1446,1460,1680,1719,1712,1328,867,96,765,4,47,50,33,0,0,0,0,2048
